강의번호,시트제목,촬영담당,강의역할,필수내용1,필수내용2,필수내용3,범위,결과물,직원추가자료,원천ID,BPT상태
9-3,검색·콘텐츠·광고,이세란,검색·콘텐츠·광고의 역할과 연결을 가설로 실행한다.,검색·콘텐츠·광고가 서로 겹칠 수 있는 분류임을 밝히고 발견되는 상황의 차이를 설명한다.,고객 상태와 USP에 맞춰 소재·정보·다음 행동을 연결한다.,소규모 실행에서 무엇을 바꾸고 어떤 결과를 관찰할지 정한다.,도구 화면·정책·집행 기능은 직원이 최신 실제 자료로 확인한다.,채널별 첫 실험,검색 사례·콘텐츠·광고 소재·성과 화면,M02 S03 G020,미확정
9-4,플랫폼·크리에이터·제휴,권기동,이미 고객과 신뢰를 가진 파트너와 협업 경로를 설계한다.,다른 사업자나 창작자의 고객·신뢰·유통 경로를 통해 접근하는 방식을 비교한다.,고객 적합성·제안·역할·보상·성과 확인 방법을 정한다.,첫 협업에서 효과와 운영 부담을 확인하고 반복 여부를 판단한다.,플랫폼 정책·수수료·계약 조건은 실제 자료 없이 확정하지 않는다.,제휴·크리에이터 연결표,파트너 후보·고객 특성·협업 조건·결과,S02 M02,미확정
9-5,트래픽을 복리 자산으로 만들기,권기동,유입의 결과를 DB·콘텐츠·학습 데이터로 남긴다.,유입의 결과가 한 번의 방문으로 끝나는 지점을 찾는다.,적합한 홈·자료·DB·후속 관계로 연결해 고객이 다시 돌아올 경로를 만든다.,소재와 실험 기록도 재사용할 수 있도록 남기고 특정 채널 의존을 점검한다.,팔로워 수 자체를 회사가 자유롭게 연락할 수 있는 DB로 간주하지 않는다.,트래픽 자산 전환표,유입 이후 경로·DB·재사용 소재·계정 구조,S02 M02 G012,미확정
10-1,직접 실행부터 위임까지,권기동,직접 이해한 기준을 문서와 교육으로 옮긴 뒤 위임한다.,위임할 작업의 입력·과정·결과와 품질 기준을 먼저 이해한다.,반복 가능한 부분을 문서화하고 직원이 같은 기준으로 실행하도록 교육한다.,실행 결과를 비교하며 부족한 기준과 지원을 보완한다.,대표가 모든 기술을 최고 수준으로 익혀야만 위임할 수 있다고 말하지 않는다.,위임 순서표,직접 실행 기록·작업 지시서·검수 예시,M02 G004 Q008,미확정
10-2,회사 규모별 운영 방식,권기동,현재 회사 규모와 병목에 맞춰 역할을 나눈다.,현재 인력·업무량·의사결정 병목을 기준으로 운영 역할을 나눈다.,규모가 커질 때 개인 실행·팀 관리·조직 간 조율의 비중이 달라지는 이유를 설명한다.,이번 규모에서 먼저 분리할 역할과 아직 묶어도 되는 일을 정한다.,칼럼의 매출 구간·채용 등급을 업종 공통 기준으로 사용하지 않는다.,규모별 역할표,조직도·업무량·대표 병목·실제 규모별 사례,Q003 G011 G014,미확정
10-3,AI 활용,이세란,AI에 맡길 입력·출력과 사람이 검수할 기준을 정한다.,조사·기획·초안·제작·검토 과정에서 AI를 보조로 쓸 구간을 고른다.,자료·목표·제약·출력 형식을 정해 업무를 전달한다.,결과의 사실·근거·브랜드 적합성을 사람이 검수하고 실제 절약과 오류를 기록한다.,현재 툴 성능·가격·버튼 안내는 사용자 추가 자료와 실제 시연이 필요하다.,AI 업무·검수표,직원 실제 AI 작업 전후·입력 자료·검수 사례,Q008 G010,미확정
10-4,마케팅 직원 채용,이세란,필요한 결과·역량·교육·측정 방식으로 채용 기준을 만든다.,뽑을 사람의 직함보다 맡길 결과물과 책임 범위를 먼저 정의한다.,필요 역량을 실제 작업과 검수 기준으로 확인한다.,입사 후 자료·교육·피드백·평가 흐름을 설계한다.,학력·연봉을 능력의 고정 대리 지표로 사용하지 않는다.,직무·평가·온보딩표,직무기술서·실무 과제·온보딩·평가표,M02 G011 Q003,미확정
10-5,외주·대행사 관리,이세란,대행 결과의 판단 기준과 데이터 접근·인수인계를 정한다.,대행 범위·목표·비용·보고·권한을 시작 전에 명확히 한다.,숫자 결과와 실행 품질을 함께 보고 가설과 수정 행동을 요구한다.,유지·수정·종료 판단과 인수인계 항목을 정한다.,법률 계약 문구나 모든 계정의 공통 손절 수치를 확정하지 않는다.,외주 평가·인수인계표,실제 제안서·리포트·업무 범위·인수인계,M02 Q009 G012,미확정
10-6,맡겨도 회사에 남게 하기,이세란,실행을 맡겨도 계정·원본·고객·성과·매뉴얼을 관리한다.,직원·대행사가 사용한 계정·원본·데이터·실행 기록이 어디에 남는지 확인한다.,담당자가 바뀌어도 이어받을 수 있도록 접근 권한과 문서 위치를 정한다.,인수인계 실연으로 빠진 정보와 개인 의존을 찾는다.,1-3의 자산 진단을 운영 기준으로 발전시키되 보유 권리는 실제 계약 조건을 확인한다.,회사 보유 자산·권한표,계정 권한표·폴더 구조·문서·인수인계 체크,G015 G011 M02,미확정
11-1,전체 마케팅 흐름 연결,이세란,개별 강의의 결과물을 한 고객 여정과 운영 구조로 연결한다.,상품·유입·홈·DB·CRM·구매·리텐션·운영 결과물을 한 흐름으로 연결한다.,각 단계의 결과가 다음 단계에서 실제로 사용되는지 확인한다.,누락·중복·서로 충돌하는 제안을 정리하고 핵심 운영 경로를 선택한다.,모든 회사가 커뮤니티와 구독을 반드시 도입하도록 강요하지 않는다.,전체 마케팅 운영도,앞선 강의 결과물 전체와 현재 운영 경로,M03 M02 S01,미확정
11-2,마케팅 대시보드,이세란,단계별 숫자와 정의·담당자를 한곳에서 본다.,대표가 내려야 할 결정에서 역산해 필요한 지표를 고른다.,각 지표의 정의·기간·데이터 출처·담당자를 고정한다.,숫자 변화가 어떤 검토나 실행을 촉발할지 정한다.,도구를 많이 연결하거나 지표를 많이 보여주는 것 자체를 완성으로 보지 않는다.,대시보드 명세,실제 데이터·보고 주기·대시보드 예시,M02 M03,미확정
11-3,주간 운영 시스템,이세란,성과 확인→가설→담당→실행→재검토를 주간 반복으로 만든다.,정해진 주기에 이전 가설·실행·결과를 함께 확인한다.,가장 중요한 질문과 다음 실험을 선정하고 담당·기한·필요 자원을 정한다.,결정의 이유와 이후 결과를 기록해 다음 회의에서 이어받는다.,주간 주기는 이 과정의 운영 적용안이며 원전의 유일한 정답이라고 하지 않는다.,주간 회의·실험 운영판,실제 회의록·실험 기록·담당자 운영표,M02 Q008 G013,미확정
11-4,복리 마케팅 자산 확인,이세란,시작 때와 비교해 회사에 남은 자산과 활용 가능성을 확인한다.,시작 때 작성한 자산 목록과 현재 상태를 같은 기준으로 비교한다.,고객·콘텐츠·데이터·매뉴얼이 실제로 재사용되는지 증거를 확인한다.,새 자산과 방치된 자산·의존 지점을 구분해 다음 유지·개선 과제를 정한다.,매출 증가를 모두 교육 효과로 귀속하거나 자동으로 성과 달성을 판정하지 않는다.,전후 자산 점검표,1-3 결과·변경 이력·활용 증거,S02 G015,미확정
11-5,다음 3개월 실행계획,이세란,다음 병목과 자원 한도에 맞춰 실행·중단·유지 조건을 정한다.,현재 병목과 검증된 학습을 기준으로 다음 3개월의 우선 목표를 정한다.,목표를 실행·관찰 지표·책임·자원으로 나누고 유지·수정·중단 조건을 적는다.,기존 운영을 유지할 일과 새로 시도할 일을 구분해 계획을 마무리한다.,계획과 달성 결과를 구분하며 날짜·담당자 확정은 실제 사용자 운영에 맞춘다.,다음 90일 계획,최신 대시보드·자원 한도·일정·의사결정,M02 M03 G013,미확정
